nasabah_id,nama_lengkap,nik,no_hp,email,tanggal_lahir,jenis_kelamin,segmen_nasabah,cabang_id,tanggal_buka_rekening,status_aktif,pekerjaan,penghasilan_bulanan
NSB0000001,Siti Manurung,2803082907729017,081316789850,siti.manurung_1@email.com,1972-07-29,Laki-laki,Retail,CAB0013,2011-09-10,Aktif,Wiraswasta,30000000
NSB0000002,Bambang Hidayat,3104012707036397,087871070189,bambang.hidayat_2@email.com,2003-07-27,Perempuan,Retail,CAB0057,2018-07-02,Aktif,Petani,7500000
NSB0000003,Dewi Purba,1904061301770937,081288406989,dewi.purba_3@email.com,1977-01-13,Perempuan,Corporate,CAB0067,2011-05-15,Aktif,Wiraswasta,3000000
NSB0000004,Lestari Nugroho,0614042307056616,081386460539,lestari.nugroho_4@email.com,2005-07-23,Laki-laki,Private Banking,CAB0007,2011-07-11,Tidak Aktif,Karyawan Swasta,30000000
NSB0000005,Rahmat Lestari,3406051205126485,085796637649,rahmat.lestari_5@email.com,2012-05-12,Perempuan,Priority,CAB0061,2015-05-10,Aktif,Karyawan Swasta,3000000
NSB0000006,Linda Lestari,0702031102015719,081342787299,linda.lestari_6@email.com,2001-02-11,Perempuan,Corporate,CAB0039,2015-12-13,Aktif,Petani,75000000
NSB0000007,Utami Aritonang,3401022002872201,087825492573,utami.aritonang_7@email.com,1987-02-20,Laki-laki,Priority,CAB0022,2024-11-17,Aktif,Ibu Rumah Tangga,100000000
NSB0000008,Wawan Kusuma,2204052311780833,081395132217,wawan.kusuma_8@email.com,1978-11-23,Perempuan,Corporate,CAB0038,2020-12-16,Aktif,PNS,20000000
NSB0000009,Candra Situmorang,1703092609710159,081320099059,candra.situmorang_9@email.com,1971-09-26,Laki-laki,Corporate,CAB0006,2019-08-05,Aktif,TNI/Polri,75000000
NSB0000010,Cahya Permana,2803061404733442,085899514287,cahya.permana_10@email.com,1973-04-14,Laki-laki,Priority,CAB0048,2010-11-23,Aktif,Mahasiswa,100000000
NSB0000011,Kartika Kurniawan,1614031211735443,082199913412,kartika.kurniawan_11@email.com,1973-11-12,Laki-laki,SME,CAB0037,2010-07-23,Aktif,Karyawan Swasta,30000000
NSB0000012,Mega Manurung,3104042206633653,081298588154,mega.manurung_12@email.com,1963-06-22,Laki-laki,Priority,CAB0054,2016-11-05,Aktif,Ibu Rumah Tangga,5000000
NSB0000013,Joni Hutapea,2311011501851890,087833966966,joni.hutapea_13@email.com,1985-01-15,Perempuan,Corporate,CAB0006,2017-06-05,Aktif,TNI/Polri,30000000
NSB0000014,Pandu Sinaga,2107040501914174,081268526649,pandu.sinaga_14@email.com,1991-01-05,Laki-laki,Retail,CAB0028,2018-08-22,Aktif,Mahasiswa,5000000
NSB0000015,Hadi Permana,2111071508895345,082149682169,hadi.permana_15@email.com,1989-08-15,Laki-laki,Corporate,CAB0027,2016-12-08,Aktif,Mahasiswa,7500000
NSB0000016,Mira Pratama,2007042101117044,085391424737,mira.pratama_16@email.com,2011-01-21,Perempuan,Priority,CAB0062,2016-06-08,Aktif,Petani,10000000
NSB0000017,Candra Setiawan,3113091011055492,081341523529,candra.setiawan_17@email.com,2005-11-10,Perempuan,Retail,CAB0031,2016-05-13,Aktif,Wiraswasta,3000000
NSB0000018,Rina Nugroho,1608042302646292,082263640499,rina.nugroho_18@email.com,1964-02-23,Laki-laki,SME,CAB0021,2019-04-19,Aktif,Karyawan Swasta,30000000
NSB0000019,Yusuf Siagian,1213091908794083,081371265269,yusuf.siagian_19@email.com,1979-08-19,Laki-laki,SME,CAB0062,2011-02-16,Aktif,Nelayan,100000000
NSB0000020,Bayu Sinaga,2910081906882608,082270407340,bayu.sinaga_20@email.com,1988-06-19,Perempuan,SME,CAB0034,2022-04-16,Aktif,Nelayan,50000000
NSB0000021,Eko Suryadi,1808061806815239,085220814950,eko.suryadi_21@email.com,1981-06-18,Laki-laki,Retail,CAB0022,2016-02-04,Aktif,Mahasiswa,7500000
NSB0000022,Citra Gunawan,0507071203791021,085866390708,citra.gunawan_22@email.com,1979-03-12,Perempuan,Corporate,CAB0003,2020-06-13,Tidak Aktif,Mahasiswa,50000000
NSB0000023,Desi Nasution,2305091207609884,085875529051,desi.nasution_23@email.com,1960-07-12,Laki-laki,SME,CAB0037,2022-01-27,Aktif,Petani,3000000
NSB0000024,Wawan Hutapea,2211032011948752,081262884503,wawan.hutapea_24@email.com,1994-11-20,Laki-laki,Retail,CAB0012,2020-06-25,Aktif,Wiraswasta,50000000
NSB0000025,Andi Susanto,0405062004765530,082147346970,andi.susanto_25@email.com,1976-04-20,Perempuan,Retail,CAB0035,2020-03-13,Aktif,Petani,3000000
NSB0000026,Omar Nugroho,0406042305083267,081293394260,omar.nugroho_26@email.com,2008-05-23,Laki-laki,Retail,CAB0033,2010-09-12,Aktif,Petani,5000000
NSB0000027,Yusuf Kusuma,1408020608102684,087824508768,yusuf.kusuma_27@email.com,2010-08-06,Laki-laki,Priority,CAB0042,2013-10-06,Tidak Aktif,Mahasiswa,30000000
NSB0000028,Yusuf Purnama,0510021610779273,081256600900,yusuf.purnama_28@email.com,1977-10-16,Perempuan,Retail,CAB0050,2016-10-06,Aktif,Nelayan,20000000
NSB0000029,Irwan Rahayu,2714081802612507,082133640702,irwan.rahayu_29@email.com,1961-02-18,Perempuan,SME,CAB0064,2018-02-15,Aktif,Mahasiswa,100000000
